0x77,0x77,0x7A,0x04	"刷写指纹信息: "
0x55,0x60,0x01,0x04	"联电EOBD发动机系统"
0x55,0x60,0x01,0x03	"博世AB10a安全气囊(KWP2000)"
0x55,0x60,0x01,0x02	"SABSMK70ABS(KWP2000)"
0x55,0x60,0x01,0x01	"德尔福MT20U2发动机系统"
0x55,0x50,0x81,0x07	"德尔福MT80发动机系统"
0x55,0x50,0x81,0x06	"安全气囊系统(ACU)"
0x55,0x50,0x81,0x05	"BOSCH8.0ABS"
0x55,0x50,0x81,0x04	"SABSMK60ABS(KWP2000)"
0x55,0x50,0x81,0x03	"联电EOBD/M797系统"
0x55,0x50,0x81,0x02	"M154发动机系统"
0x55,0x50,0x81,0x01	"M797发动机系统(KWP2000)"
0x55,0x50,0x01,0x0B	"BMCS(KWP2000)"
0x55,0x50,0x01,0x0A	"胎压监测系统(KWP2000)"
0x55,0x50,0x01,0x09	"东方久乐安全气囊"
0x55,0x50,0x01,0x08	"锦恒4AB安全气囊(KWP2000)"
0x55,0x50,0x01,0x07	"自动空调系统"
0x55,0x50,0x01,0x06	"上海实业防盗系统(KWP2000)"
0x55,0x50,0x01,0x05	"安全气囊系统(KWP2000)"
0x55,0x50,0x01,0x04	"BOSCH8.0ABS(KWP2000)"
0x55,0x50,0x01,0x03	"联电EOBD发动机系统"
0x55,0x50,0x01,0x02	"M154发动机系统"
0x55,0x50,0x01,0x01	"M797发动机系统"
0x24,0x13,0x01,0x64	"请输入空白项内容"
0x24,0x13,0x01,0x63	"扫描进度"
0x24,0x13,0x01,0x62	"检测保养"
0x24,0x13,0x01,0x61	"保养资格验证失败"
0x24,0x13,0x01,0x60	"验证信息"
0x24,0x13,0x01,0x5F	"正在进行验证,请等待..."
0x24,0x13,0x01,0x5E	"输入的VIN位数不正确,请再次输入!"
0x24,0x13,0x01,0x5D	"提示信息"
0x24,0x13,0x01,0x5C	"快速诊断中..."
0x24,0x13,0x01,0x5B	"VIN和里程"
0x24,0x13,0x01,0x5A	"输入里程(KM):"
0x24,0x13,0x01,0x59	"输入VIN:"
0x24,0x13,0x01,0x58	"里程"
0x24,0x13,0x01,0x57	"VIN码"
0x00,0x00,0x00,0x00	"选择菜单"
0x06,0x29,0x12,0x03	"前4后4雷达"
0x06,0x29,0x12,0x02	"前2后4雷达"
0x06,0x29,0x12,0x01	"前0后4雷达"
0x06,0x29,0x13,0x12	"雷达已选择完成, 请确认变速器类型也已配置, 再按[返回]继续"
0x06,0x29,0x13,0x11	"变速器已选择完成, 请继续配置雷达"
0x06,0x29,0x13,0x01	"OK"
0x06,0x29,0x10,0x02	"雷达"
0x06,0x29,0x10,0x01	"变速器类型"
0x06,0x29,0x11,0x03	"AT"
0x06,0x29,0x11,0x02	"MT"
0x06,0x29,0x11,0x01	"预留"
0x06,0x29,0x02,0x22	"按键故障"
0x06,0x29,0x02,0x21	"按键按下"
0x06,0x29,0x02,0x20	"按键未按下"
0x06,0x29,0x02,0x13	"Unknow"
0x06,0x29,0x02,0x12	"Drive"
0x06,0x29,0x02,0x11	"Neutral"
0x06,0x29,0x02,0x10	"Reverse"
0x06,0x29,0x02,0x0F	"Park"
0x06,0x29,0x02,0x0E	"数据流"
0x06,0x29,0x02,0x0D	"ECU安装日期: "
0x06,0x29,0x02,0x0C	"ECU软件版本号: "
0x06,0x29,0x02,0x0B	"ECU硬件版本号: "
0x06,0x29,0x02,0x0A	"车辆识别号(VIN码): "
0x06,0x29,0x02,0x09	"ECU序列号: "
0x06,0x29,0x02,0x08	"ECU生产日期: "
0x06,0x29,0x02,0x07	"供应商代码: "
0x06,0x29,0x02,0x06	"Geely软件版本号: "
0x06,0x29,0x02,0x05	"零件号: "
0x06,0x29,0x02,0x04	"标定软件版本号: "
0x06,0x29,0x02,0x03	"车辆名称: "
0x06,0x29,0x02,0x02	""
0x06,0x29,0x02,0x01	"读当前故障码"
0x06,0x28,0x30,0x25	"读数据流"
0x06,0x28,0x30,0x24	"集成电路卡标识符:"
0x06,0x28,0x30,0x23	"摩托车（L7e级车）"
0x06,0x28,0x30,0x22	"摩托车（L6e级车）"
0x06,0x28,0x30,0x21	"摩托车（L5e级车）"
0x06,0x28,0x30,0x20	"摩托车（L4e级车）"
0x06,0x28,0x30,0x1F	"摩托车（L3e级车）"
0x06,0x28,0x30,0x1E	"摩托车（L2e级车） "
0x06,0x28,0x30,0x1D	"摩托车（L1e级车）"
0x06,0x28,0x30,0x1C	"重型货车（N3级车）"
0x06,0x28,0x30,0x1B	"重型货车（N2级车）"
0x06,0x28,0x30,0x1A	"轻型商用车（N1级车） "
0x06,0x28,0x30,0x19	"长途汽车 （M3级车） "
0x06,0x28,0x30,0x18	"长途汽车（M2级车） "
0x06,0x28,0x30,0x17	"乘用车（M1级车） "
0x06,0x28,0x30,0x16	"汽车种类:"
0x06,0x28,0x30,0x15	"未定义的数据"
0x06,0x28,0x30,0x14	"汽油车 "
0x06,0x28,0x30,0x13	"柴油车 "
0x06,0x28,0x30,0x12	"天然气汽车"
0x06,0x28,0x30,0x11	"液化石油气汽车"
0x06,0x28,0x30,0x10	"电动车"
0x06,0x28,0x30,0x0F	"氢燃料汽车"
0x06,0x28,0x30,0x0E	"汽车动力类型:"
0x06,0x28,0x30,0x0D	"UNIT_IMEI:"
0x06,0x28,0x30,0x0C	"ECU安装日期:"
0x06,0x28,0x30,0x0B	"ECU软件版本号:"
0x06,0x28,0x30,0x0A	"ECU软件号:"
0x06,0x28,0x30,0x09	"ECU硬件版本号:"
0x06,0x28,0x30,0x08	"ECU硬件号:"
0x06,0x28,0x30,0x07	"车辆识别号（VIN码）:"
0x06,0x28,0x30,0x06	"ECU序列号:"
0x06,0x28,0x30,0x05	"ECU生产日期:"
0x06,0x28,0x30,0x04	"供应商代码:"
0x06,0x28,0x30,0x03	"零件号:"
0x06,0x28,0x30,0x02	"车辆名称:"
0x06,0x28,0x30,0x01	"读版本信息"
0x06,0x28,0x70,0x02	"汽车种类"
0x06,0x28,0x70,0x01	"汽车动力类型"
0x06,0x25,0x00,0x08	"测试模式"
0x06,0x25,0x00,0x07	"运输模式"
0x06,0x25,0x00,0x06	"普通模式"
0x06,0x25,0x00,0x05	"未定义的数据"
0x06,0x25,0x00,0x04	"在线"
0x06,0x25,0x00,0x03	"离线"
0x06,0x25,0x00,0x02	"数据流"
0x06,0x38,0xA0,0x21	"变速器类型已选择完成"
0x06,0x38,0xA0,0x11	"变速器类型"
0x06,0x38,0xA0,0x02	"4EAT"
0x06,0x38,0xA0,0x01	"4AT"
0x06,0x38,0x90,0x39	"获取配置码失败!"
0x06,0x38,0x90,0x38	"从仪表(IPK)成功获取配置码: "
0x06,0x38,0x90,0x37	"从BCM成功获取配置码: "
0x06,0x38,0x90,0x36	"从BCM中获取数据失败，即将从IPK系统中获取"
0x06,0x38,0x90,0x35	"是否进行一键配置功能？一键配置是从BCM或IPK (BCM获取失败后才从IPK中获取) 获取配置代码，将获取的配置代码写入该系统。\n点击[是]进行一键配置，点击[否]退出一键配置。"
0x06,0x38,0x90,0x34	"正在写入..."
0x06,0x38,0x90,0x33	"当前ECU配置码为: "
0x06,0x38,0x90,0x32	"此ECU无须配置"
0x06,0x38,0x90,0x31	"功能配置写入成功"
0x06,0x38,0x90,0x30	"ECU与写入的不一致"
0x06,0x38,0x90,0x22	"已学习"
0x06,0x38,0x90,0x21	"未学习"
0x06,0x38,0x90,0x12	"最后检查学习状态"
0x06,0x38,0x90,0x11	"PEPS安全认证校验(售后模式)"
0x06,0x38,0x90,0x03	"运输模式"
0x06,0x38,0x90,0x02	"工厂模式"
0x06,0x38,0x90,0x01	"售后模式"
0x06,0x38,0x90,0x00	"车辆状态管理"
0x06,0x38,0x90,0x54	"With ACC"
0x06,0x38,0x90,0x53	"With Conventional CC"
0x06,0x38,0x90,0x52	"Without Conventional CC"
0x06,0x38,0x90,0x51	"Not used"
0x06,0x38,0x90,0x43	"变速器类型"
0x06,0x38,0x90,0x42	"单个选项配置"
0x06,0x38,0x90,0x41	"代码输入"
0x06,0x38,0x90,0x40	"一键配置"
0x06,0x38,0x82,0x04	"售后钥匙学习"
0x06,0x38,0x82,0x03	"售后BCM系统防盗认证学习"
0x06,0x38,0x82,0x02	"钥匙学习"
0x06,0x38,0x82,0x01	"PEPS系统防盗认证学习"
0x06,0x38,0x83,0x10	"擦除PEPS完成"
0x06,0x38,0x83,0x0F	"擦除EMS完成"
0x06,0x38,0x83,0x0E	"将点火开关切换至OFF,等待10s将EMS数据储存,再打开点火开关至IGN ON"
0x06,0x38,0x83,0x0D	"EMS 已学习, PEPS 已学习"
0x06,0x38,0x83,0x0C	"EMS 未学习, PEPS 未学习"
0x06,0x38,0x83,0x0B	"EMS 已学习, PEPS 未学习"
0x06,0x38,0x83,0x0A	"EMS 未学习, PEPS 已学习"
0x06,0x38,0x83,0x09	"请求学习结果验证失败，失败原因未知(未定义的数据)"
0x06,0x38,0x83,0x08	"请求学习结果验证中，请等待..."
0x06,0x38,0x83,0x07	"验证失败"
0x06,0x38,0x83,0x06	"验证成功"
0x06,0x38,0x83,0x05	"SC认证超时"
0x06,0x38,0x83,0x04	"SC认证失败"
0x06,0x38,0x83,0x03	"SC认证成功"
0x06,0x38,0x83,0x02	"SC认证失败"
0x06,0x38,0x83,0x01	"1.打开点火开关至IGN ON，发动机不启动,\n2.确认PEPS更换完成,\n\n注：请确保输入的SC码正确，若连续3次认证未通过，请等待5分钟再执行此功能"
0x06,0x38,0x84,0x0A	"请插入第二把机械钥匙并打到ON档"
0x06,0x38,0x84,0x09	"请插入第一把机械钥匙并打到ON档"
0x06,0x38,0x84,0x08	"第二把钥匙学习成功"
0x06,0x38,0x84,0x07	"钥匙学习失败"
0x06,0x38,0x84,0x06	"学习钥匙中..."
0x06,0x38,0x84,0x05	"钥匙学习完成"
0x06,0x38,0x84,0x04	"请在5s内将第二把钥匙放入档把前储物盒中（多功能天线位置）"
0x06,0x38,0x84,0x03	"第一把钥匙学习成功，是否添加第二把钥匙？"
0x06,0x38,0x84,0x02	"将第一把钥匙放入档把前储物盒中（多功能天线位置）"
0x06,0x38,0x84,0x01	"打开点火开关至IGN ON，发动机不启动，\n\n注：请确保输入的SC码正确，若连续3次认证未通过，请等待5分钟再执行此功能"
0x06,0x38,0x72,0x07	"警告"
0x06,0x38,0x72,0x06	"先读取学习状态，不能同时擦除EMS和PEPS/BCM\n点击[是]继续下一步，点击[否]退出。"
0x06,0x38,0x72,0x05	"是否进行钥匙学习？"
0x06,0x38,0x72,0x04	"是否进行擦除EMS？"
0x06,0x38,0x72,0x03	"是否进行擦除PEPS？"
0x06,0x38,0x72,0x02	"是否进行遥控学习钥匙？"
0x06,0x38,0x72,0x01	"EMS，PEPS和ESCL都为新件时才执行此学习流程。点击[是]继续下一步，点击[否]退出学习流程。"
0x06,0x38,0x70,0x26	"未定的数据"
0x06,0x38,0x70,0x25	"预留"
0x06,0x38,0x70,0x24	"预留"
0x06,0x38,0x70,0x23	"ESCL 和 EMS都没有"
0x06,0x38,0x70,0x22	"预留"
0x06,0x38,0x70,0x21	"售后服务验证超时"
0x06,0x38,0x70,0x20	"EMS已学习"
0x06,0x38,0x70,0x1F	"PEPS已学习"
0x06,0x38,0x70,0x1E	"ESCL已学习"
0x06,0x38,0x70,0x1D	"EMS未学习"
0x06,0x38,0x70,0x1C	"PEPS未学习"
0x06,0x38,0x70,0x1B	"ESCL未学习"
0x06,0x38,0x70,0x1A	"路由工作中"
0x06,0x38,0x70,0x19	"钥匙学习中"
0x06,0x38,0x70,0x18	"钥匙 2学习完成"
0x06,0x38,0x70,0x17	"钥匙 1学习完成"
0x06,0x38,0x70,0x16	"钥匙学习错误"
0x06,0x38,0x70,0x15	"验证失败"
0x06,0x38,0x70,0x14	"验证OK"
0x06,0x38,0x70,0x13	"SC访问错误"
0x06,0x38,0x70,0x12	"SC访问OK"
0x06,0x38,0x70,0x11	"SC访问超时"
0x06,0x38,0x70,0x10	"EMS比较结果错误"
0x06,0x38,0x70,0x0F	"EMS比较结果正确"
0x06,0x38,0x70,0x0E	"EMS学习超时"
0x06,0x38,0x70,0x0D	"ESCL comparison result is error"
0x06,0x38,0x70,0x0C	"ESCL comparison result is ok"
0x06,0x38,0x70,0x0B	"ESCL learning timer out "
0x06,0x38,0x70,0x0A	"所有控制器都未学习"
0x06,0x38,0x70,0x09	"ESCL 已学习 , EMS 已学习, PEPS 已学习"
0x06,0x38,0x70,0x08	"ESCL 已学习, EMS 未学习, PEPS 未学习"
0x06,0x38,0x70,0x07	"ESCL 未学习 , EMS 已学习, PEPS 未学习"
0x06,0x38,0x70,0x06	"ESCL 未学习 , EMS 未学习, PEPS 已学习"
0x06,0x38,0x70,0x05	"ESCL 已学习 , EMS 已学习, PEPS 未学习"
0x06,0x38,0x70,0x04	"ESCL 已学习 , EMS 未学习, PEPS 已学习"
0x06,0x38,0x70,0x03	"ESCL 未学习 , EMS 已学习, PEPS 已学习"
0x06,0x38,0x70,0x02	"EMS目前没有"
0x06,0x38,0x70,0x01	"ESCL目前没有"
0x06,0x38,0x70,0x00	"无效值"
0x06,0x38,0x71,0x04	"擦除EMS"
0x06,0x38,0x71,0x03	"擦除PEPS"
0x06,0x38,0x71,0x02	"钥匙学习(工厂EOL模式)"
0x06,0x38,0x71,0x01	"全新系统学习(工厂EOL模式)"
0x06,0x36,0x92,0x13	"后视镜折叠配置"
0x06,0x36,0x92,0x12	"遥控落锁喇叭反馈"
0x06,0x36,0x92,0x11	"车窗防夹配置"
0x06,0x36,0x92,0x10	"后视镜自动折叠配置"
0x06,0x36,0x92,0x0F	"车窗防夹报警配置"
0x06,0x36,0x92,0x0E	"天窗遥控开窗配置"
0x06,0x36,0x92,0x0D	"车窗遥控开窗配置"
0x06,0x36,0x92,0x0C	"锁车升窗配置"
0x06,0x36,0x92,0x0B	"AT车启动继电器控制功能"
0x06,0x36,0x92,0x0A	"后雨刮功能"
0x06,0x36,0x92,0x09	"TPMS自定位功能"
0x06,0x36,0x92,0x08	"定速巡航功能"
0x06,0x36,0x92,0x07	"自动灯光"
0x06,0x36,0x92,0x06	"胎压监测"
0x06,0x36,0x92,0x05	"变速器类型"
0x06,0x36,0x92,0x04	"点火开关解锁功能"
0x06,0x36,0x92,0x03	"车速锁止功能"
0x06,0x36,0x92,0x02	"日间行车灯功能"
0x06,0x36,0x92,0x01	"日间行车灯是否在组合大灯中"
0x06,0x36,0x92,0x63	"4EAT"
0x06,0x36,0x92,0x62	"4AT"
0x06,0x36,0x92,0x61	"MT"
0x06,0x36,0x92,0x52	"不配置"
0x06,0x36,0x92,0x51	"配置"
0x06,0x36,0x90,0x03	"运输模式"
0x06,0x36,0x90,0x02	"工厂模式"
0x06,0x36,0x90,0x01	"售后模式"
0x06,0x36,0x90,0x00	"车辆状态管理"
0x06,0x36,0x91,0x02	"是否进行一键配置功能？一键配置是从IPK获取配置代码，将获取的配置代码写入该系统。\n点击[是]进行一键配置，点击[否]退出一键配置。"
0x06,0x36,0x91,0x01	"胎压自检模式开启成功\n  需要保持车速>25km/h, 行驶一段时间，直到仪表TPMS故障灯灭，4个轮胎的胎压胎温开始正常显示"
0x06,0x36,0x82,0x04	"售后钥匙学习"
0x06,0x36,0x82,0x03	"售后BCM系统防盗认证学习"
0x06,0x36,0x82,0x02	"钥匙学习"
0x06,0x36,0x82,0x01	"BCM系统防盗认证学习"
0x06,0x36,0x83,0x0E	"将点火开关切换至OFF,等待10s将EMS数据储存,再打开点火开关至IGN ON"
0x06,0x36,0x83,0x0D	"EMS 已学习, BCM 已学习"
0x06,0x36,0x83,0x0C	"EMS 未学习, BCM 未学习"
0x06,0x36,0x83,0x0B	"EMS 已学习, BCM 未学习"
0x06,0x36,0x83,0x0A	"EMS 未学习, BCM 已学习"
0x06,0x36,0x83,0x09	"请求学习结果验证失败，失败原因未知(未定义的数据)"
0x06,0x36,0x83,0x08	"请求学习结果验证中，请等待..."
0x06,0x36,0x83,0x07	"验证失败"
0x06,0x36,0x83,0x06	"验证成功"
0x06,0x36,0x83,0x05	"SC认证超时"
0x06,0x36,0x83,0x04	"SC认证失败"
0x06,0x36,0x83,0x03	"SC认证成功"
0x06,0x36,0x83,0x02	"SC认证失败"
0x06,0x36,0x83,0x01	"1.打开点火开关至IGN ON，发动机不启动,\n2.确认BCM更换完成,\n\n注：请确保输入的SC码正确，若连续3次认证未通过，请等待5分钟再执行此功能"
0x06,0x36,0x80,0x02	"是否进行遥控学习钥匙？"
0x06,0x36,0x80,0x01	"遥控学习钥匙"
0x06,0x36,0x81,0x10	"钥匙学习中，请等待..."
0x06,0x36,0x81,0x09	"是否再添加一把钥匙？"
0x06,0x36,0x81,0x08	"未找到学习钥匙"
0x06,0x36,0x81,0x07	"学习钥匙成功"
0x06,0x36,0x81,0x06	"请同时按下解锁键和后备箱开启健,并且长按2秒"
0x06,0x36,0x81,0x05	"遥控钥匙已经学习："
0x06,0x36,0x81,0x04	"钥匙按压解锁键一次"
0x06,0x36,0x81,0x03	"启动失败，未知原因"
0x06,0x36,0x81,0x02	"启动失败"
0x06,0x36,0x81,0x01	"启动成功"
0x06,0x36,0x81,0x00	"学习钥匙"
0x06,0x36,0x84,0x0A	"请插入第二把机械钥匙并打到ON档"
0x06,0x36,0x84,0x09	"请插入第一把机械钥匙并打到ON档"
0x06,0x36,0x84,0x08	"第二把钥匙学习成功"
0x06,0x36,0x84,0x07	"钥匙学习失败"
0x06,0x36,0x84,0x06	"学习钥匙中..."
0x06,0x36,0x84,0x05	"钥匙学习完成"
0x06,0x36,0x84,0x04	"请在5s内将第二把钥匙放入档把前储物盒中（多功能天线位置）"
0x06,0x36,0x84,0x03	"第一把钥匙学习成功，是否添加第二把钥匙？"
0x06,0x36,0x84,0x02	"将第一把钥匙放入档把前储物盒中（多功能天线位置）"
0x06,0x36,0x84,0x01	"打开点火开关至IGN ON，发动机不启动，\n\n注：请确保输入的SC码正确，若连续3次认证未通过，请等待5分钟再执行此功能"
0x06,0x36,0xFF,0x06	"检查学习状态"
0x06,0x36,0xFF,0x05	"读取防盗学习状态"
0x06,0x36,0xFF,0x04	"读取学习状态及钥匙状态"
0x06,0x36,0xFF,0x03	"读取学习状态"
0x06,0x36,0xFF,0x02	"胎压信息"
0x06,0x36,0xFF,0x01	"网络节点配置信息"
0x06,0x36,0x30,0x05	"BCM未学习,ESCL已学习,EMS未学习,钥匙未学习"
0x06,0x36,0x30,0x04	"BCM已学习,ESCL已学习,EMS未学习,钥匙未学习"
0x06,0x36,0x30,0x03	"BCM已学习,ESCL已学习,EMS已学习,钥匙未学习"
0x06,0x36,0x30,0x02	"BCM已学习,ESCL已学习,EMS已学习,1把钥匙已学习"
0x06,0x36,0x30,0x01	"BCM已学习,ESCL已学习,EMS已学习,2把钥匙已学习"
0x06,0x36,0x72,0x07	"警告"
0x06,0x36,0x72,0x06	"先读取学习状态，不能同时擦除EMS和PEPS/BCM\n点击[是]继续下一步，点击[否]退出。"
0x06,0x36,0x72,0x05	"是否进行钥匙学习？"
0x06,0x36,0x72,0x04	"是否进行擦除EMS？"
0x06,0x36,0x72,0x03	"是否进行擦除BCM？"
0x06,0x36,0x72,0x02	"是否进行遥控学习钥匙？"
0x06,0x36,0x72,0x01	"EMS，BCM和ESCL都为新件时才执行此学习流程。点击[是]继续下一步，点击[否]退出学习流程。"
0x06,0x36,0x70,0x25	"保留"
0x06,0x36,0x70,0x24	"保留"
0x06,0x36,0x70,0x23	"ESCL和EMS目前都没有"
0x06,0x36,0x70,0x22	"保留"
0x06,0x36,0x70,0x21	"售后验证超时"
0x06,0x36,0x70,0x20	"EMS 已学习"
0x06,0x36,0x70,0x1F	"PEPS 已学习"
0x06,0x36,0x70,0x1E	"ESCL 已学习"
0x06,0x36,0x70,0x1D	"EMS维珍"
0x06,0x36,0x70,0x1C	"PEPS维珍"
0x06,0x36,0x70,0x1B	"ESCL 未学习"
0x06,0x36,0x70,0x1A	"路由工作"
0x06,0x36,0x70,0x19	"IMMO学习"
0x06,0x36,0x70,0x18	"IMMO 2学习完成"
0x06,0x36,0x70,0x17	"IMMO 1学习完成"
0x06,0x36,0x70,0x16	"IMMO学习错误"
0x06,0x36,0x70,0x15	"验证失败"
0x06,0x36,0x70,0x14	"验证OK"
0x06,0x36,0x70,0x13	"SC访问错误"
0x06,0x36,0x70,0x12	"SC访问OK"
0x06,0x36,0x70,0x11	"SC访问超时"
0x06,0x36,0x70,0x10	"EMS比较结果为错误"
0x06,0x36,0x70,0x0F	"EMS比较结果OK"
0x06,0x36,0x70,0x0E	"EMS学习定时器输出"
0x06,0x36,0x70,0x0D	"ESCL比较结果为错误"
0x06,0x36,0x70,0x0C	"ESCL比较结果OK"
0x06,0x36,0x70,0x0B	"ESCL学习定时器输出"
0x06,0x36,0x70,0x0A	"所有ECU目前未学习"
0x06,0x36,0x70,0x09	"ESCL 已学习, EMS 已学习, BCM 已学习"
0x06,0x36,0x70,0x08	"ESCL已学习, EMS未学习, BCM未学习"
0x06,0x36,0x70,0x07	"ESCL未学习, EMS已学习, BCM未学习"
0x06,0x36,0x70,0x06	"ESCL未学习, EMS未学习, BCM已学习"
0x06,0x36,0x70,0x05	"ESCL已学习, EMS已学习, BCM未学习"
0x06,0x36,0x70,0x04	"ESCL已学习, EMS未学习, BCM已学习"
0x06,0x36,0x70,0x03	"ESCL未学习, EMS已学习, BCM已学习"
0x06,0x36,0x70,0x02	"EMS目前没有"
0x06,0x36,0x70,0x01	"BCM目前没有"
0x06,0x36,0x70,0x00	"无效/默认"
0x06,0x36,0x70,0x5C	"ESCL 和 EMS 目前没有"
0x06,0x36,0x70,0x5B	"所有控制器都未学习"
0x06,0x36,0x70,0x5A	"ESCL 已学习, EMS 已学习, BCM 已学习"
0x06,0x36,0x70,0x59	"ESCL 已学习, EMS 未学习, BCM 未学习"
0x06,0x36,0x70,0x58	"ESCL 未学习, EMS 已学习, BCM 未学习"
0x06,0x36,0x70,0x57	"ESCL 未学习, EMS 未学习, BCM 已学习"
